id,text
101,"Fruit farmer: Grows and harvests fruits such as apples, oranges, and berries."
101,"Vegetable farmer: Cultivates and harvests vegetables like carrots, potatoes, and lettuce."
102,"Dairy farmer: Manages cows for milk production and processes dairy products."
102,"Sheep farmer: Raises sheep for wool, meat, and other products."
103,"Construction laborer: Performs physical tasks on construction sites, such as digging and carrying materials."
103,"Bricklayer: Lays bricks, concrete blocks, and stones to build walls and structures."
104,"Carpenter: Constructs, installs, and repairs wooden frameworks and structures."
105,"Electrician: Installs, maintains, and repairs electrical systems in buildings and equipment."
106,"Plumber: Installs and repairs water, gas, and drainage systems in homes and businesses."
107,"Software developer: Designs, writes, and tests computer programs and applications."
107,"Web developer: Builds and maintains websites and web applications."
108,"Data analyst: Analyzes data to provide insights and support decision-making."
109,"Accountant: Prepares and examines financial records, ensuring accuracy and compliance with regulations."
109,"Auditor: Reviews financial statements and records to ensure compliance and detect fraud."
110,"Teacher: Educates students in schools, colleges, or universities."
110,"Teaching assistant: Supports teachers in classrooms by helping students and preparing materials."
111,"Nurse: Provides medical care and support to patients in hospitals, clinics, or homes."
111,"Paramedic: Responds to emergency medical situations and provides pre-hospital care."
112,"Chef: Prepares and cooks meals in restaurants, hotels, or other food establishments."
112,"Waiter: Serves food and drinks to customers in restaurants and cafes."
